title,author,pubDate,link,category,description,source_url
"Leader of South Africa’s Assembly, Nosiviwe Mapisa-Nqakula, Resigns",,20240403,https://www.nytimes.com/2024/04/03/world/africa/south-africa-speaker-resigns.html,"['South Africa', 'Corruption (Institutional)', 'Elections', 'Ethics and Official Misconduct', 'Apartheid (Policy)', 'Legislatures and Parliaments', 'Nosiviwe Mapisa-Nqakula', 'African National Congress', 'Democratic Alliance (South Africa)', 'Zuma, Jacob G', 'Ramaphosa, Cyril', 'Politics and Government']",The legal problems of Nosiviwe Mapisa-Nqakula expose the governing African National Congress to one of its biggest weaknesses — corruption allegations — ahead of a crucial national election.,https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Ugandan Court Upholds Draconian Anti-Gay Law,,20240403,https://www.nytimes.com/2024/04/03/world/africa/uganda-anti-gay-law.html,"['Homosexuality and Bisexuality', 'Law and Legislation', 'Museveni, Yoweri', 'Uganda', 'International Relations', 'Discrimination', 'Constitutions', 'Politics and Government', 'Human Rights and Human Rights Violations', 'Decisions and Verdicts', 'Capital Punishment', 'Hate Crimes']","The law, which includes the death penalty as a punishment in some cases, has been strongly condemned, including by the United States.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Senegal President Bassirou Diomaye Faye Takes Office and Promises Change,,20240403,https://www.nytimes.com/2024/04/02/world/africa/senegal-president-inauguration.html,"['Africa', 'Senegal', 'Politics and Government', 'Sall, Macky', 'Faye, Bassirou Diomaye', 'Sonko, Ousmane']","Senegal’s new president, Bassirou Diomaye Faye, took the oath of office in Tuesday’s ceremony. Close behind him sat the popular opposition leader who had clinched the win.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
How African Immigrants Have Revived a Remote Corner of Quebec,,20240330,https://www.nytimes.com/2024/03/30/world/canada/rouyn-noranda-immigration-africa.html,"['Quebec Province (Canada)', 'Africa', 'Immigration and Emigration', 'Foreign Workers', 'Labor and Jobs', 'Rural Areas']","Hundreds of newcomers from Africa have filled a shortage of workers in Rouyn-Noranda, creating a new community in a remote mining town.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Girl Who Survived South Africa Bus Crash Is in Stable Condition,,20240403,https://www.nytimes.com/2024/03/29/world/africa/south-africa-botswana-bus-crash.html,"['Traffic Accidents and Safety', 'Buses', 'Deaths (Fatalities)', 'Botswana', 'South Africa']","Forty-five church pilgrims from Botswana, along with the driver, were killed when the bus plunged off an overpass into a rocky ravine in South Africa. The only survivor was a little girl.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"South Africa Bus Crash Kills 45, but 8-Year-old Survives",,20240329,https://www.nytimes.com/2024/03/28/world/africa/south-africa-bus-crash.html,"['South Africa', 'Traffic Accidents and Safety', 'Botswana', 'Buses', 'Deaths (Fatalities)']","The bus, which was carrying people from Botswana to an Easter weekend pilgrimage in South Africa, fell 165 feet into a ravine.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"U.K. Backsliding on Civil and Political Rights, U.N. Body Says",,20240328,https://www.nytimes.com/2024/03/28/world/europe/uk-civil-rights-asylum-rwanda.html,"['Great Britain', 'Asylum, Right of', 'Rwanda', 'Immigration and Emigration', 'Illegal Immigration', 'Law and Legislation', 'United Nations', 'Conservative Party (Great Britain)', 'Surveillance of Citizens by Government', 'Facial Recognition Software', 'Privacy', 'Politics and Government', 'War Crimes, Genocide and Crimes Against Humanity', 'Northern Ireland']",A human rights committee that examined a range of concerns called on Britain to abandon its controversial plan to send asylum seekers to Rwanda.,https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"Senegal’s New President Was Unknown, but ‘This Family is Not New to Ruling’",,20240328,https://www.nytimes.com/2024/03/28/world/africa/senegal-faye-president-home.html,"['Senegal', 'Faye, Bassirou Diomaye', 'Sonko, Ousmane', 'Sall, Macky', 'Elections', 'Politics and Government', 'Youth', 'Content Type: Personal Profile']","How did Bassirou Diomaye Faye, age 44, go from obscurity to a resounding win in Senegal’s presidential election? At the family homestead, one relative explained, “This family is not new to ruling.”",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
Young Opposition Candidate Set to Become Senegal’s President,,20240325,https://www.nytimes.com/2024/03/25/world/africa/senegal-presidential-election-results.html,"['Senegal', 'Africa', 'Faye, Bassirou Diomaye', 'Sonko, Ousmane', 'Sall, Macky', 'Ba, Amadou (1961- )', 'Elections', 'Politics and Government']","Bassirou Diomaye Faye, who turned 44 on Monday, was little known until he received the backing of Ousmane Sonko, Senegal’s most formidable opposition politician. Both men were released from jail only 10 days ago.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
"Dozens of Children Kidnapped in Nigeria Are Released, Officials Say",,20240324,https://www.nytimes.com/2024/03/24/world/africa/nigeria-children-released.html,"['Kidnapping and Hostages', 'Politics and Government', 'Missing Persons', 'Africa', 'Kaduna (Nigeria)', 'Nigeria']","The military of the West African nation, which is plagued by kidnappings largely driven by demands for ransom payments, said 137 children had been freed in the country’s north.",https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
